id,name,type,axial,L,R,ang,pid,excFRmean,excFRstd,excP_0mean,excP_0std,inhFRmean,inhFRstd,inhP_0mean,inhP_0std
0,soma,1,True,0.0,5.96,0.0,0,0.0,0.0,0.0,0.0,16.9,7.15,0.88,0.025
1,basal,3,False,200.0,0.28452,-0.7071067811865476,0,4.43,1.45,0.53,0.11,3.9,2.45,0.72,0.05
2,proxtrunk,4,True,200,1.10192786,1.5707963267948966,0,4.43,1.45,0.53,0.11,3.9,2.45,0.72,0.05
3,oblique,4,False,200.0,0.615524,0.0,2,4.43,1.45,0.53,0.11,3.9,2.45,0.72,0.05
4,midtrunk,4,True,300.0,1.256428,1.5707963267948966,2,4.43,1.45,0.53,0.11,3.9,2.45,0.30,0.04
5,disttrunk,4,True,200.0,0.616776,1.5707963267948966,4,4.43,1.45,0.53,0.11,3.9,2.45,0.30,0.04
6,tuft,4,False,500.0,0.2720864,1.309,5,4.43,1.45,0.53,0.11,3.9,2.45,0.30,0.04
